okres,tytul,autor,pozycja_w_rankingu,zmiana_w_rankingu,ocena,liczba_ocen,liczba_czytelnikow,liczba_recenzji
04-2026,Szczęście czy fart?,"Trias de Bes Fernando,Alex Rovira Celma",1,awans,7.4,359,1395,42
04-2026,Projekt Hail Mary,Andy Weir,2,spadek,8.1,7450,14356,1269
04-2026,Święto Karkonoszy,Sławek Gortych,3,nowosc,7.7,681,2401,147
04-2026,Cały ten błękit,Mélissa Da Costa,4,spadek,7.8,2948,8801,560
04-2026,Gołoborze,Maciej Siembieda,5,spadek,8.3,4219,9777,872
04-2026,Dom bestii,Katarzyna Bonda,6,nowosc,7.3,441,1288,129
04-2026,Traktat o łuskaniu fasoli,Wiesław Myśliwski,7,awans,8.2,9777,26702,1088
04-2026,Przymierze Wróbli,Devney Perry,8,spadek,8.3,496,2452,149
04-2026,"Schronisko, które przestało istnieć",Sławek Gortych,9,bez-zmian,7.5,14137,24739,1980
04-2026,Odległe życie,M.L. Stedman,10,nowosc,7.9,250,1503,79
04-2026,Markiz,Przemysław Piotrowski,11,spadek,7.6,1737,2972,364
04-2026,"Tam, gdzie zmrok zapada szybciej",Wojciech Chmielarz,12,nowosc,7.1,380,1163,130
04-2026,"Dziki, mroczny brzeg",Charlotte McConaghy,13,spadek,7.5,2665,6290,495
04-2026,Korespondentka,Virginia Evans,14,awans,8.0,351,1766,110
04-2026,Właśnie że tak! Nigdy w życiu! 20 lat później,Katarzyna Grochola,15,awans,7.4,480,1075,113
04-2026,Monolok,Paweł Sołtys,16,spadek,7.6,274,774,60
04-2026,Upiór,Maciej Siembieda,17,spadek,7.7,885,1857,211
04-2026,Ostatni smrek,Maria Gąsienica-Zawadzka,18,spadek,7.5,239,782,79
04-2026,Atlas chmur,David Mitchell,19,nowosc,7.4,4749,15664,578
04-2026,Wilczy Król,Lauren Palphreyman,20,nowosc,7.6,393,1309,132
04-2026,Życie przed sobą,Émile Ajar,21,nowosc,7.9,1066,3326,150
04-2026,Arachnia,Remigiusz Mróz,22,spadek,7.7,1425,2624,214
04-2026,Alfa,Grzegorz Brudnik,23,nowosc,8.1,465,997,131
04-2026,Dungeon Crawler Carl,Matt Dinniman,24,awans,7.7,619,1669,148
04-2026,Pomoc domowa,Freida McFadden,25,spadek,7.6,14813,23335,2055
04-2026,Isola,Allegra Goodman,26,nowosc,7.6,188,903,64
04-2026,Spadek po mojemu,Mieczysław Gorzka,27,nowosc,7.6,799,1522,186
04-2026,Czarne Morze,Michał Śmielak,28,nowosc,8.3,474,1338,149
04-2026,Archipelag,Marek Stelar,29,awans,7.2,500,901,139
04-2026,Smocza Iskra,Ivy Asher,30,awans,8.0,203,1189,106
04-2026,Null,Szczepan Twardoch,31,spadek,7.4,3377,6316,540
04-2026,Kiedy żurawie odlatują na południe,Lisa Ridzén,32,spadek,8.0,1296,4708,278
04-2026,Zdarzyło się w Bagiennym Lesie,Małgorzata Rogala,33,awans,7.2,398,675,89
04-2026,Chłód,Weronika Mathia,34,awans,7.2,540,1044,143
04-2026,Obsesja,B.A. Paris,35,spadek,7.1,1463,2873,338
04-2026,"Któregoś dnia okaże się, że wszyscy od zawsze byli przeciwko",Omar El Akkad,36,nowosc,8.1,138,971,27
04-2026,"Schronisko, które zostało zapomniane",Sławek Gortych,37,spadek,7.9,5362,9890,752
04-2026,Mamuna,Krystian Stolarz,38,nowosc,8.4,195,452,136
04-2026,Pentagram,Jo Nesbø,39,awans,7.6,10072,18223,671
04-2026,Sztorm,Magdalena Witkiewicz,40,spadek,7.0,1524,3121,296
04-2026,Quo vAIdis,Andrzej Dragan,41,spadek,7.7,1471,4572,206
04-2026,Goście weselni,Alison Espach,42,spadek,7.2,5110,8969,757
04-2026,Przejścia. Którędy do miłości,Natalia de Barbaro,43,nowosc,7.8,131,359,52
04-2026,Śnieg przykryje,Michał Śmielak,44,spadek,7.7,4447,6983,787
04-2026,Cesarstwo świtu,Jay Kristoff,45,awans,8.5,312,1342,66
04-2026,Płaczka,Camilla Läckberg,46,nowosc,7.3,108,1171,20
04-2026,Mroczna więź,Sable Sorensen,47,awans,7.8,345,1273,100
04-2026,Alchemised,SenLinYu,48,spadek,7.3,1892,5229,459
04-2026,Dwór cierni i róż,Sarah J. Maas,49,spadek,7.5,4543,8947,447
04-2026,Zły opiekun,Marcel Moss,50,nowosc,8.0,163,548,83
04-2026,Lokatorka,Freida McFadden,51,spadek,7.1,1058,2137,205
04-2026,Droga Królów,Brandon Sanderson,52,awans,8.8,12254,31399,1389
04-2026,Jak rozkochać Gbura,Kyra Parsi,53,awans,7.9,675,1240,179
04-2026,Obiekty głębokiego nieba,Jakub Małecki,54,awans,7.7,3215,5821,592
04-2026,Laurka,Alicja Sinicka,55,awans,7.7,494,1088,116
04-2026,Małe życie,Hanya Yanagihara,56,awans,7.8,16644,44203,2658
04-2026,Wiedźma z Sudetów,Monika Raspen,57,awans,8.5,161,829,57
04-2026,Co przyniesie jutro,Mélissa Da Costa,58,nowosc,8.1,163,1142,77
04-2026,Kwiaty dla Algernona,Daniel Keyes,59,nowosc,8.3,8364,17129,1178
04-2026,Światło między oceanami,M.L. Stedman,60,nowosc,7.6,7314,13885,1082
04-2026,Katharsis,Maciej Siembieda,61,awans,8.2,4763,9338,757
04-2026,Wampirze cesarstwo,Jay Kristoff,62,awans,8.4,2707,8062,484
04-2026,Nadzieja i tęsknota. Rozstanie,Joanna Jax,63,spadek,8.4,129,314,26
04-2026,Z mgły zrodzony,Brandon Sanderson,64,awans,8.2,9460,20061,871
04-2026,Śmierciologia,Max Czornyj,65,awans,8.1,198,871,78
04-2026,Zagadka martwego wydawcy,Aneta Jadowska,66,awans,7.6,903,1427,129
04-2026,Akuszerki,Sabina Jakubowska,67,awans,8.4,2079,4857,399
04-2026,Przepraszam za brzydkie pismo. Pamiętniki wiejskich kobiet,Antonina Tosiek,68,awans,7.3,505,2498,95
04-2026,Król popiołów,S.A. Cosby,69,nowosc,7.4,173,475,92
04-2026,"Kości rzucone, korzeniem splątane",Mags Green,70,nowosc,8.3,256,810,83
04-2026,"Kości rzucone, korzeniem splątane",Mags Green,71,nowosc,8.3,256,810,83
04-2026,Idealny syn,Freida McFadden,72,spadek,7.0,2935,4447,458
04-2026,Ostatni taniec,Rafał Wicijowski,73,spadek,7.4,436,961,141
04-2026,W obronie męża,Marcel Moss,74,spadek,7.3,687,1220,181
04-2026,Martwy punkt,Aro Sáinz de la Maza,75,nowosc,7.3,106,303,35
04-2026,Światłoczułość,Jakub Jarno,76,awans,7.7,3924,9285,693
04-2026,Właściwa stacja,Joanna Tekieli,77,nowosc,8.0,137,270,66
04-2026,Noc trzydziesta,Katarzyna Puzyńska,78,spadek,7.3,431,828,121
04-2026,Widnokrąg,Wiesław Myśliwski,79,awans,8.2,3382,10519,380
04-2026,Nocami krzyczą sarny,Katarzyna Zyskowska,80,spadek,8.1,4293,8727,718
04-2026,"Odwaga bycia nielubianym. Japoński fenomen, który pokazuje jak być wolnym i odmienić własne życie",Ichirō Kishimi,81,awans,7.3,2412,9138,329
04-2026,Jak poskromić Diabła,Kyra Parsi,82,nowosc,7.7,1352,2322,297
04-2026,"Atomowe nawyki. Drobne zmiany, niezwykłe efekty",James Clear,83,nowosc,7.7,7839,20186,832
04-2026,Kiedyś były tu wilki,Charlotte McConaghy,84,nowosc,7.8,178,1308,56
04-2026,Na krwawych skrzydłach,Briar Boleyn,85,nowosc,7.1,278,957,148
04-2026,The Deal. Układ,Elle Kennedy,86,awans,7.8,1456,2773,195
04-2026,Żądło,Paul Murray,87,spadek,7.6,1015,4024,156
04-2026,Nic takiego,Katarzyna Puzyńska,88,spadek,7.1,1005,1849,266
04-2026,Człowiek w poszukiwaniu sensu,Viktor E. Frankl,89,spadek,7.9,11799,29006,1206
04-2026,Solaris,Stanisław Lem,90,spadek,7.8,18941,33934,1435
04-2026,Wczoraj byłaś zła na zielono,Eliza Kącka,91,awans,7.2,1280,4261,285
04-2026,Położne,Sabina Jakubowska,92,spadek,7.9,159,1124,42
04-2026,Chłopki. Opowieść o naszych babkach,Joanna Kuciel-Frydryszak,93,nowosc,8.0,18506,33609,2436
04-2026,Na wschód od Edenu,John Steinbeck,94,nowosc,8.5,6865,19469,711
04-2026,Mimika,Sebastian Fitzek,95,spadek,7.4,449,1293,143
04-2026,Kasandra w ruinach. Tom 1,Mag­da­ Knedler,96,nowosc,7.7,107,288,50
04-2026,Umbra,Paulina Świst,97,awans,7.6,785,1359,194
04-2026,Hyperion,Dan Simmons,98,bez-zmian,8.2,10013,22624,1033
04-2026,Czerwony świt,Pierce Brown,99,awans,7.6,1810,6695,303
04-2026,Rok 1984,George Orwell,100,nowosc,8.6,2626,4728,213
04-2026,Gdzie śpiewają raki,Delia Owens,101,awans,7.9,28747,48477,3881
04-2026,Pułapki myślenia. O myśleniu szybkim i wolnym,Daniel Kahneman,102,spadek,7.9,4554,27082,494
04-2026,Zima pożegnanych,Anna Kańtoch,103,spadek,7.1,447,856,118
04-2026,Piętno,Przemysław Piotrowski,104,spadek,7.7,11558,18768,1967
04-2026,Pomoc domowa. Sekret,Freida McFadden,105,awans,7.4,8290,11791,1020
04-2026,Zaleca się kota,Shō Ishida,106,nowosc,7.1,2130,4209,384
04-2026,"Reminders of him. Cząstka ciebie, którą znam",Colleen Hoover,107,spadek,8.1,3333,6505,549
04-2026,Problem trzech ciał,Cixin Liu,108,nowosc,7.5,9281,19462,1153
04-2026,Biały Dom,Andrzej Pilipiuk,109,nowosc,6.9,145,363,29
04-2026,Wola wielu,James Islington,110,awans,8.3,748,3531,162
04-2026,Młócka. Reportaże o pracy przyszłości,Marek Szymaniak,111,nowosc,7.8,112,699,21
04-2026,Lapis Lazuli,Krzysztof Bochus,112,spadek,7.9,303,599,97
03-2026,Projekt Hail Mary,Andy Weir,1,nowosc,8.1,7450,14356,1269
03-2026,Gołoborze,Maciej Siembieda,2,bez-zmian,8.3,4219,9777,872
03-2026,Cały ten błękit,Mélissa Da Costa,3,spadek,7.8,2948,8801,560
03-2026,Arachnia,Remigiusz Mróz,4,nowosc,7.7,1425,2624,214
03-2026,Markiz,Przemysław Piotrowski,5,nowosc,7.6,1737,2972,364
03-2026,Przymierze Wróbli,Devney Perry,6,awans,8.3,496,2452,149
03-2026,Monolok,Paweł Sołtys,7,awans,7.6,274,774,60
03-2026,Traktat o łuskaniu fasoli,Wiesław Myśliwski,8,awans,8.2,9777,26702,1088
03-2026,"Schronisko, które przestało istnieć",Sławek Gortych,9,spadek,7.5,14137,24739,1980
03-2026,"Dziki, mroczny brzeg",Charlotte McConaghy,10,spadek,7.5,2665,6290,495
03-2026,Upiór,Maciej Siembieda,11,awans,7.7,885,1857,211
03-2026,Pomoc domowa,Freida McFadden,12,spadek,7.6,14813,23335,2055
03-2026,Obsesja,B.A. Paris,13,spadek,7.1,1463,2873,338
03-2026,Ostatni smrek,Maria Gąsienica-Zawadzka,14,nowosc,7.5,239,782,79
03-2026,"Schronisko, które zostało zapomniane",Sławek Gortych,15,spadek,7.9,5362,9890,752
03-2026,Quo vAIdis,Andrzej Dragan,16,awans,7.7,1471,4572,206
03-2026,"Reminders of him. Cząstka ciebie, którą znam",Colleen Hoover,17,nowosc,8.1,3333,6505,549
03-2026,Właśnie że tak! Nigdy w życiu! 20 lat później,Katarzyna Grochola,18,nowosc,7.4,480,1075,113
03-2026,Kiedy żurawie odlatują na południe,Lisa Ridzén,19,bez-zmian,8.0,1296,4708,278
03-2026,Null,Szczepan Twardoch,20,spadek,7.4,3377,6316,540
03-2026,Śnieg przykryje,Michał Śmielak,21,spadek,7.7,4447,6983,787
03-2026,W obronie męża,Marcel Moss,22,nowosc,7.3,687,1220,181
03-2026,Sztorm,Magdalena Witkiewicz,23,nowosc,7.0,1524,3121,296
03-2026,Lokatorka,Freida McFadden,24,nowosc,7.1,1058,2137,205
03-2026,Szczęście czy fart?,"Trias de Bes Fernando,Alex Rovira Celma",25,nowosc,7.4,359,1395,42
03-2026,Korespondentka,Virginia Evans,26,nowosc,8.0,351,1766,110
03-2026,Dwór cierni i róż,Sarah J. Maas,27,spadek,7.5,4543,8947,447
03-2026,Nadzieja i tęsknota. Rozstanie,Joanna Jax,28,nowosc,8.4,129,314,26
03-2026,Goście weselni,Alison Espach,29,spadek,7.2,5110,8969,757
03-2026,Alchemised,SenLinYu,30,spadek,7.3,1892,5229,459
03-2026,Lapis Lazuli,Krzysztof Bochus,31,nowosc,7.9,303,599,97
03-2026,Noc trzydziesta,Katarzyna Puzyńska,32,nowosc,7.3,431,828,121
03-2026,Zima pożegnanych,Anna Kańtoch,33,nowosc,7.1,447,856,118
03-2026,Doktórka od familoków,Magdalena Majcher,34,spadek,7.6,1951,3767,357
03-2026,Wichrowe wzgórza,Emily Jane Brontë,35,spadek,7.5,23557,46874,2173
03-2026,Smocza Iskra,Ivy Asher,36,nowosc,8.0,203,1189,106
03-2026,Węzeł czasu,Remigiusz Mróz,37,awans,7.0,2012,3981,376
03-2026,Położne,Sabina Jakubowska,38,spadek,7.9,159,1124,42
03-2026,Archipelag,Marek Stelar,39,nowosc,7.2,500,901,139
03-2026,Heated Rivalry,Rachel Reid,40,spadek,7.6,272,623,46
03-2026,Lód,Jacek Dukaj,41,nowosc,7.7,4577,15831,661
03-2026,Żądło,Paul Murray,42,awans,7.6,1015,4024,156
03-2026,Nic takiego,Katarzyna Puzyńska,43,awans,7.1,1005,1849,266
03-2026,Mroczna więź,Sable Sorensen,44,nowosc,7.8,345,1273,100
03-2026,Mimika,Sebastian Fitzek,45,nowosc,7.4,449,1293,143
03-2026,Idealny syn,Freida McFadden,46,spadek,7.0,2935,4447,458
03-2026,Nocami krzyczą sarny,Katarzyna Zyskowska,47,spadek,8.1,4293,8727,718
03-2026,Jak rozkochać Gbura,Kyra Parsi,48,nowosc,7.9,675,1240,179
03-2026,Obława,Piotr Kościelny,49,awans,7.3,614,1003,117
03-2026,Odpowiedź kryje się w tobie,Katarzyna Wolwowicz,50,nowosc,6.7,888,1327,162
03-2026,Fourth Wing. Czwarte Skrzydło (dodatkowe rozdziały),Rebecca Yarros,51,spadek,8.0,6762,11691,787
03-2026,Ostatni taniec,Rafał Wicijowski,52,awans,7.4,436,961,141
03-2026,Pułapki myślenia. O myśleniu szybkim i wolnym,Daniel Kahneman,53,bez-zmian,7.9,4554,27082,494
03-2026,Dungeon Crawler Carl,Matt Dinniman,54,nowosc,7.7,619,1669,148
03-2026,Katharsis,Maciej Siembieda,55,awans,8.2,4763,9338,757
03-2026,Człowiek w poszukiwaniu sensu,Viktor E. Frankl,56,awans,7.9,11799,29006,1206
03-2026,Wiedźma z Sudetów,Monika Raspen,57,nowosc,8.5,161,829,57
03-2026,Droga Królów,Brandon Sanderson,58,spadek,8.8,12254,31399,1389
03-2026,Małe życie,Hanya Yanagihara,59,spadek,7.8,16644,44203,2658
03-2026,Laurka,Alicja Sinicka,60,nowosc,7.7,494,1088,116
03-2026,Nie obiecuj mi jutra,Gabriela Gargaś,61,nowosc,7.2,165,413,84
03-2026,Pentagram,Jo Nesbø,62,nowosc,7.6,10072,18223,671
03-2026,Obiekty głębokiego nieba,Jakub Małecki,63,spadek,7.7,3215,5821,592
03-2026,Gra Anioła,Carlos Ruiz Zafón,64,nowosc,7.7,25165,44166,1813
03-2026,Cesarstwo świtu,Jay Kristoff,65,nowosc,8.5,312,1342,66
03-2026,Nie kłam,Freida McFadden,66,spadek,7.2,4285,6944,666
03-2026,Akuszerki,Sabina Jakubowska,67,spadek,8.4,2079,4857,399
03-2026,Wampirze cesarstwo,Jay Kristoff,68,nowosc,8.4,2707,8062,484
03-2026,Chłód,Weronika Mathia,69,nowosc,7.2,540,1044,143
03-2026,"Kłamstwa, którymi żyjemy. Jak zmierzyć się z prawdą, zaakceptować siebie i zmienić swoje życie",Jon Frederickson,70,nowosc,7.3,909,3222,122
03-2026,Solaris,Stanisław Lem,71,nowosc,7.8,18941,33934,1435
03-2026,Ślady,Paulina Cedlerska,72,nowosc,7.2,300,600,107
03-2026,Piętno,Przemysław Piotrowski,73,nowosc,7.7,11558,18768,1967
03-2026,Z mgły zrodzony,Brandon Sanderson,74,spadek,8.2,9460,20061,871
03-2026,Światłoczułość,Jakub Jarno,75,spadek,7.7,3924,9285,693
03-2026,Hasi,Beata Skrzypczak,76,nowosc,7.4,253,1283,111
03-2026,Ostatnia zapałka,Marie Vareille,77,spadek,8.6,249,921,91
03-2026,Zdarzyło się w Bagiennym Lesie,Małgorzata Rogala,78,nowosc,7.2,398,675,89
03-2026,Słowik,Kristin Hannah,79,awans,8.3,14469,27020,1955
03-2026,Widnokrąg,Wiesław Myśliwski,80,nowosc,8.2,3382,10519,380
03-2026,Gen zła,Katarzyna Wolwowicz,81,spadek,7.4,1359,2050,216
03-2026,Śmierciologia,Max Czornyj,82,nowosc,8.1,198,871,78
03-2026,Przez trudy do gwiazd,Anna Rybakiewicz,83,spadek,8.3,474,986,139
03-2026,Rycerz Siedmiu Królestw,George R.R. Martin,84,spadek,7.4,4404,8666,442
03-2026,Szklany Tron,Sarah J. Maas,85,spadek,7.8,15944,32149,1678
03-2026,Hyperion,Dan Simmons,86,spadek,8.2,10013,22624,1033
03-2026,Czarne ptaki,Bartosz Szczygielski,87,nowosc,6.8,245,620,95
03-2026,"Bezwzględni. O władzy, chciwości i upadku ideałów największego portalu społecznościowego",Sarah Wynn-Williams,88,nowosc,7.2,105,629,47
03-2026,Stefcia,Joanna Adamek,89,nowosc,7.7,519,1247,136
03-2026,Wywieranie wpływu na ludzi. Teoria i praktyka,Robert B. Cialdini,90,nowosc,7.8,1963,7251,174
03-2026,Fetysz,Przemysław Piotrowski,91,spadek,7.7,2935,4803,481
03-2026,Colette,Valérie Perrin,92,spadek,7.7,2804,6748,523
03-2026,In Her Own League,Liz Tomforde,93,nowosc,7.9,686,1100,128
03-2026,Gdzie śpiewają raki,Delia Owens,94,spadek,7.9,28747,48477,3881
03-2026,Czerwona nić,Agnieszka Jeż,95,nowosc,7.4,119,279,58
03-2026,Przepraszam za brzydkie pismo. Pamiętniki wiejskich kobiet,Antonina Tosiek,96,nowosc,7.3,505,2498,95
03-2026,Gniazdo,Roisin O'Donnell,97,nowosc,7.9,207,773,54
03-2026,Pomoc domowa. Sekret,Freida McFadden,98,spadek,7.4,8290,11791,1020
03-2026,Wczoraj byłaś zła na zielono,Eliza Kącka,99,spadek,7.2,1280,4261,285
03-2026,Naznaczony,Robert Galbraith,100,spadek,7.6,1417,2775,238
03-2026,Poławiacze sunu,Michał Organiściak,101,nowosc,7.8,106,320,39
03-2026,Kryształowy deszcz,Marek Stelar,102,spadek,7.6,232,541,78
03-2026,Umbra,Paulina Świst,103,awans,7.6,785,1359,194
03-2026,Mistrz i Małgorzata,Michaił Bułhakow,104,nowosc,8.4,56019,97462,3640
03-2026,Odcienie przemocy,Grzegorz Karwowski,105,spadek,7.3,103,212,79
03-2026,Rok zmian,Mieczysław Gorzka,106,spadek,7.4,1623,3137,334
03-2026,"Odwaga bycia nielubianym. Japoński fenomen, który pokazuje jak być wolnym i odmienić własne życie",Ichirō Kishimi,107,spadek,7.3,2412,9138,329
03-2026,Diuna,Frank Herbert,108,nowosc,8.2,23886,48002,2044
03-2026,Wszystko na mojej głowie,Jakub Bączykowski,109,spadek,7.4,772,1499,193
03-2026,Czerwony świt,Pierce Brown,110,nowosc,7.6,1810,6695,303
03-2026,The Deal. Układ,Elle Kennedy,111,nowosc,7.8,1456,2773,195
03-2026,"Schronisko, które spowijał mrok",Sławek Gortych,112,awans,8.1,7776,13346,897
03-2026,Wola wielu,James Islington,113,spadek,8.3,748,3531,162
03-2026,Sekretna miłość,Krystyna Mirek,114,nowosc,7.9,108,181,59
03-2026,Dziewiąty dom,Leigh Bardugo,115,nowosc,7.1,1413,4990,207
03-2026,Skandal,Katarzyna Michalak,116,nowosc,7.4,173,280,126
03-2026,Zagadka martwego wydawcy,Aneta Jadowska,117,nowosc,7.6,903,1427,129
02-2026,Cały ten błękit,Mélissa Da Costa,1,awans,7.8,2948,8801,560
02-2026,Gołoborze,Maciej Siembieda,2,bez-zmian,8.3,4219,9777,872
02-2026,"Dziki, mroczny brzeg",Charlotte McConaghy,3,awans,7.5,2665,6290,495
02-2026,Pomoc domowa,Freida McFadden,4,spadek,7.6,14813,23335,2055
02-2026,Doktórka od familoków,Magdalena Majcher,5,nowosc,7.6,1951,3767,357
02-2026,"Schronisko, które przestało istnieć",Sławek Gortych,6,bez-zmian,7.5,14137,24739,1980
02-2026,Wichrowe wzgórza,Emily Jane Brontë,7,nowosc,7.3,304,615,45
02-2026,Rycerz Siedmiu Królestw,George R.R. Martin,8,nowosc,7.4,4404,8666,442
02-2026,Obsesja,B.A. Paris,9,awans,7.1,1463,2873,338
02-2026,Śnieg przykryje,Michał Śmielak,10,bez-zmian,7.7,4447,6983,787
02-2026,"Schronisko, które zostało zapomniane",Sławek Gortych,11,awans,7.9,5362,9890,752
02-2026,Monolok,Paweł Sołtys,12,awans,7.6,274,774,60
02-2026,Goście weselni,Alison Espach,13,awans,7.2,5110,8969,757
02-2026,Alchemised,SenLinYu,14,spadek,7.3,1892,5229,459
02-2026,Null,Szczepan Twardoch,15,awans,7.4,3377,6316,540
02-2026,Odcienie przemocy,Grzegorz Karwowski,16,spadek,7.3,103,212,79
02-2026,Kiedy żurawie odlatują na południe,Lisa Ridzén,17,spadek,8.0,1296,4708,278
02-2026,Fourth Wing. Czwarte Skrzydło (dodatkowe rozdziały),Rebecca Yarros,18,awans,8.0,6762,11691,787
02-2026,Projekt Hail Mary,Andy Weir,19,awans,8.2,1708,3482,240
02-2026,Dwór cierni i róż,Sarah J. Maas,20,awans,7.5,4543,8947,447
02-2026,Upiór,Maciej Siembieda,21,nowosc,7.7,885,1857,211
02-2026,Quo vAIdis,Andrzej Dragan,22,spadek,7.7,1471,4572,206
02-2026,Położne,Sabina Jakubowska,23,awans,7.9,159,1124,42
02-2026,Z mgły zrodzony,Brandon Sanderson,24,awans,8.2,9460,20061,871
02-2026,Nocami krzyczą sarny,Katarzyna Zyskowska,25,awans,8.1,4293,8727,718
02-2026,Wszystko na mojej głowie,Jakub Bączykowski,26,awans,7.4,772,1499,193
02-2026,Idealny syn,Freida McFadden,27,spadek,7.0,2935,4447,458
02-2026,Krwinki. Opowieści o stracie i nadziei,Dorota Groyecka,28,nowosc,7.7,202,698,39
02-2026,Heated Rivalry,Rachel Reid,29,spadek,7.6,272,623,46
02-2026,Aplikacja ctrl+life,Adam Bugaj,30,nowosc,7.8,152,277,53
02-2026,Wichrowe wzgórza,Emily Jane Brontë,31,nowosc,7.5,23557,46874,2173
02-2026,Kryształowy deszcz,Marek Stelar,32,nowosc,7.6,232,541,78
02-2026,Obiekty głębokiego nieba,Jakub Małecki,33,awans,7.7,3215,5821,592
02-2026,Gen zła,Katarzyna Wolwowicz,34,awans,7.4,1359,2050,216
02-2026,Przez trudy do gwiazd,Anna Rybakiewicz,35,awans,8.3,474,986,139
02-2026,Małe życie,Hanya Yanagihara,36,spadek,7.8,16644,44203,2658
02-2026,Mrok jest po naszej stronie,Katarzyna Zyskowska,37,spadek,8.1,814,2101,198
02-2026,Zostań ze mną,"Nicholas Sparks,M. Night Shyamalan",38,awans,7.2,485,1142,166
02-2026,Pomoc domowa. Sekret,Freida McFadden,39,spadek,7.4,8290,11791,1020
02-2026,Traktat o łuskaniu fasoli,Wiesław Myśliwski,40,awans,8.2,9777,26702,1088
02-2026,Naznaczony,Robert Galbraith,41,spadek,7.6,1417,2775,238
02-2026,Pamięć drzewa,Tina Valles,42,awans,7.8,354,1356,178
02-2026,Akuszerki,Sabina Jakubowska,43,awans,8.4,2079,4857,399
02-2026,Węzeł czasu,Remigiusz Mróz,44,spadek,7.0,2012,3981,376
02-2026,Rok zmian,Mieczysław Gorzka,45,spadek,7.4,1623,3137,334
02-2026,Ogród rozpaczy ziemskich,Beatriz Serrano,46,nowosc,7.1,1290,3669,243
02-2026,Nie kłam,Freida McFadden,47,awans,7.2,4285,6944,666
02-2026,Droga Królów,Brandon Sanderson,48,awans,8.8,12254,31399,1389
02-2026,Pułapki myślenia. O myśleniu szybkim i wolnym,Daniel Kahneman,49,awans,7.9,4554,27082,494
02-2026,"O (albo uniwersalny traktat o tym, dlaczego sprawy mają się tak, a nie inaczej)",Miki Liukkonen,50,nowosc,7.6,140,1678,50
02-2026,Drzewa,Percival Everett,51,awans,7.2,222,940,50
02-2026,Colette,Valérie Perrin,52,nowosc,7.7,2804,6748,523
02-2026,Hamnet,Maggie O'Farrell,53,awans,7.4,496,1764,86
02-2026,Ostatnia gejsza z Gion,Magdalena Buraczewska-Świątek,54,nowosc,7.8,113,437,59
02-2026,Propozycja dżentelmena. Wydanie serialowe,Julia Quinn,55,nowosc,7.1,3522,5722,376
02-2026,Schron,Marcel Moss,56,awans,7.5,585,1163,157
02-2026,Gdzie śpiewają raki,Delia Owens,57,spadek,7.9,28747,48477,3881
02-2026,Żądło,Paul Murray,58,awans,7.6,1015,4024,156
02-2026,Katharsis,Maciej Siembieda,59,awans,8.2,4763,9338,757
02-2026,Wiejskie dzieci. Kiedy nasi przodkowie byli mali,Aneta Godynia,60,nowosc,7.2,128,748,61
02-2026,Dziewczyna z konspiracji,Weronika Ilska,61,awans,8.4,135,283,81
02-2026,"Rok, w którym nie umarłem",Mikołaj Grynberg,62,awans,7.4,1110,2720,164
02-2026,Ostatnia zapałka,Marie Vareille,63,nowosc,8.6,249,921,91
02-2026,Ostatni taniec,Rafał Wicijowski,64,nowosc,7.4,436,961,141
02-2026,Przymierze Wróbli,Devney Perry,65,nowosc,8.3,496,2452,149
02-2026,Fetysz,Przemysław Piotrowski,66,nowosc,7.7,2935,4803,481
02-2026,Światłoczułość,Jakub Jarno,67,spadek,7.7,3924,9285,693
02-2026,Zaleca się kota,Shō Ishida,68,spadek,7.1,2130,4209,384
02-2026,Błękit,Małgorzata Oliwia Sobczak,69,nowosc,7.6,2933,5137,401
02-2026,Człowiek w poszukiwaniu sensu,Viktor E. Frankl,70,spadek,7.9,11799,29006,1206
02-2026,Wczoraj byłaś zła na zielono,Eliza Kącka,71,spadek,7.2,1280,4261,285
02-2026,Córeczka,Romy Hausmann,72,nowosc,7.0,162,745,58
02-2026,Kontury,Jakub Jarno,73,awans,7.5,1241,2815,272
02-2026,Hyperion,Dan Simmons,74,awans,8.2,10013,22624,1033
02-2026,Bóg techy. Jak wielkie firmy technologiczne przejmują władzę nad Polską i światem,Sylwia Czubkowska,75,awans,7.7,1047,4035,174
02-2026,Tam na niebie są rzeki,Elif Shafak,76,nowosc,7.8,874,2297,157
02-2026,"Gdzie jesteś, siostrzyczko?",Max Czornyj,77,nowosc,6.7,474,811,158
02-2026,Szklany Tron,Sarah J. Maas,78,spadek,7.8,15944,32149,1678
02-2026,Gdy powrócą kanarki,Laura Barrow,79,nowosc,7.0,979,2532,191
02-2026,Muzeum niewinności,Orhan Pamuk,80,nowosc,7.0,1059,2798,148
02-2026,Wola wielu,James Islington,81,awans,8.3,748,3531,162
02-2026,Quicksilver,Callie Hart,82,nowosc,7.1,1789,3609,330
02-2026,Ludzie wędrowni,Anna Fryczkowska,83,nowosc,8.0,555,1465,126
02-2026,"69 milionów powodów, żeby rzucić swojego szefa",Kira Archer,84,nowosc,7.1,294,534,90
02-2026,Czerwień,Małgorzata Oliwia Sobczak,85,awans,7.3,7767,13029,1212
02-2026,Nieznajomi,Izabela Janiszewska,86,spadek,7.4,2751,4352,503
02-2026,Zombie,Wojciech Chmielarz,87,spadek,7.5,3976,6719,486
02-2026,"Rzeczy, których nie dokończyliśmy",Rebecca Yarros,88,nowosc,7.8,2201,4474,409
